Date,Long,Short,L/S
"2024-04-21T18:45:00Z","59.19","40.81","1.4504"
"2024-04-21T18:30:00Z","59.25","40.75","1.454"
"2024-04-21T18:15:00Z","59.209999999999994","40.79","1.4516"
"2024-04-21T18:00:00Z","59.24","40.760000000000005","1.4534"
"2024-04-21T17:45:00Z","59.309999999999995","40.69","1.4576"
"2024-04-21T17:30:00Z","59.21999999999999","40.78","1.4522"
"2024-04-21T17:15:00Z","59.19","40.81","1.4504"
"2024-04-21T17:00:00Z","59.19","40.81","1.4504"
"2024-04-21T16:45:00Z","59.4","40.6","1.4631"
"2024-04-21T16:30:00Z","59.56","40.44","1.4728"
"2024-04-21T16:15:00Z","59.440000000000005","40.56","1.4655"
"2024-04-21T16:00:00Z","59.27","40.73","1.4552"
"2024-04-21T15:45:00Z","59.209999999999994","40.79","1.4516"
"2024-04-21T15:30:00Z","59.19","40.81","1.4504"
"2024-04-21T15:15:00Z","59.12","40.88","1.4462"
"2024-04-21T15:00:00Z","58.879999999999995","41.120000000000005","1.4319"
"2024-04-21T14:45:00Z","58.86","41.14","1.4307"
"2024-04-21T14:30:00Z","58.87","41.13","1.4313"
"2024-04-21T14:15:00Z","58.89","41.11","1.4325"
"2024-04-21T14:00:00Z","58.879999999999995","41.120000000000005","1.4319"
"2024-04-21T13:45:00Z","58.660000000000004","41.339999999999996","1.419"
"2024-04-21T13:30:00Z","58.67","41.33","1.4195"
"2024-04-21T13:15:00Z","58.67","41.33","1.4195"
"2024-04-21T13:00:00Z","58.540000000000006","41.46","1.412"
"2024-04-21T12:45:00Z","58.440000000000005","41.56","1.4062"
"2024-04-21T12:30:00Z","58.47","41.53","1.4079"
"2024-04-21T12:15:00Z","58.660000000000004","41.339999999999996","1.419"
"2024-04-21T12:00:00Z","58.76","41.24","1.4248"
"2024-04-21T11:45:00Z","58.809999999999995","41.19","1.4278"
"2024-04-21T11:30:00Z","58.9","41.099999999999994","1.4331"
"2024-04-21T11:15:00Z","59.62","40.38","1.4765"
"2024-04-21T11:00:00Z","59.91","40.089999999999996","1.4944"
"2024-04-21T10:45:00Z","59.88","40.12","1.4925"
"2024-04-21T10:30:00Z","59.760000000000005","40.239999999999995","1.4851"
"2024-04-21T10:15:00Z","59.74","40.26","1.4839"
"2024-04-21T10:00:00Z","59.75","40.25","1.4845"
"2024-04-21T09:45:00Z","59.760000000000005","40.239999999999995","1.4851"
"2024-04-21T09:30:00Z","59.77","40.23","1.4857"
"2024-04-21T09:15:00Z","59.48","40.52","1.4679"
"2024-04-21T09:00:00Z","59.46","40.54","1.4667"
"2024-04-21T08:45:00Z","59.47","40.53","1.4673"
"2024-04-21T08:30:00Z","59.519999999999996","40.48","1.4704"
"2024-04-21T08:15:00Z","59.46","40.54","1.4667"
"2024-04-21T08:00:00Z","59.46","40.54","1.4667"
"2024-04-21T07:45:00Z","59.46","40.54","1.4667"
"2024-04-21T07:30:00Z","59.599999999999994","40.400000000000006","1.4752"
"2024-04-21T07:15:00Z","59.589999999999996","40.410000000000004","1.4746"
"2024-04-21T07:00:00Z","59.57","40.43","1.4734"
"2024-04-21T06:45:00Z","59.760000000000005","40.239999999999995","1.4851"
"2024-04-21T06:30:00Z","59.8","40.2","1.4876"
"2024-04-21T06:15:00Z","59.79","40.21","1.4869"
"2024-04-21T06:00:00Z","59.75","40.25","1.4845"
"2024-04-21T05:45:00Z","59.89","40.11","1.4931"
"2024-04-21T05:30:00Z","59.97","40.03","1.4981"
"2024-04-21T05:15:00Z","59.95","40.050000000000004","1.4969"
"2024-04-21T05:00:00Z","59.86","40.14","1.4913"
"2024-04-21T04:45:00Z","59.75","40.25","1.4845"
"2024-04-21T04:30:00Z","59.69","40.31","1.4808"
"2024-04-21T04:15:00Z","59.64","40.36","1.4777"
"2024-04-21T04:00:00Z","59.730000000000004","40.27","1.4832"
"2024-04-21T03:45:00Z","59.77","40.23","1.4857"
"2024-04-21T03:30:00Z","59.56","40.44","1.4728"
"2024-04-21T03:15:00Z","59.489999999999995","40.510000000000005","1.4685"
"2024-04-21T03:00:00Z","59.31999999999999","40.68","1.4582"
"2024-04-21T02:45:00Z","59.47","40.53","1.4673"
"2024-04-21T02:30:00Z","59.660000000000004","40.339999999999996","1.4789"
"2024-04-21T02:15:00Z","59.51","40.489999999999995","1.4697"
"2024-04-21T02:00:00Z","59.589999999999996","40.410000000000004","1.4746"
